empl_id,start_date,rank,sl,day
20392,1988-10-24 00:00:00,5,DS: Digital Services,"1,42.0,5,18.0,7,240.0,9,138.0,10,42.0,1,12.0,5,18.0,7,318.0,9,72.0,10,156.0,1,24.0,5,18.0,7,228.0,9,246.0,10,12.0,1,87.0,5,57.0,7,240.0,9,126.0,10,18.0,1,66.0,5,60.0,7,204.0,9,156.0,10,42.0,5,24.0,7,222.0,9,210.0,10,24.0,5,18.0,7,228.0,9,258.0,10,24.0,5,12.0,7,288.0,9,270.0,10,6.0,5,42.0,7,360.0,9,90.0,10,36.0,5,42.0,7,204.0,9,174.0,10,12.0,1,5.866666666666667,5,117.33333333333333,7,205.33333333333334,9,164.26666666666668,10,35.2,1,48.0,5,60.0,7,186.0,9,210.0,10,24.0,1,90.0,5,54.0,7,156.0,9,30.0,10,150.0,1,45.41935483870968,5,51.096774193548384,7,158.96774193548387,9,96.51612903225806,10,147.61290322580643,13,28.387096774193548,5,54.0,7,204.0,9,198.0,10,72.0,5,22.588235294117645,7,254.11764705882354,9,254.11764705882354,10,11.294117647058822,13,33.88235294117647,5,5.617021276595745,7,202.2127659574468,9,280.8510638297872,10,5.617021276595745,13,33.702127659574465,7,17.77777777777778,9,456.2962962962963,13,5.925925925925926,5,15.483870967741936,7,154.83870967741936,9,242.5806451612903,13,67.09677419354838,5,10.472727272727273,7,225.16363636363639,9,267.05454545454546,13,73.3090909090909,1,5.67741935483871,5,11.35483870967742,7,334.96774193548384,9,147.61290322580643,13,28.387096774193548,5,34.56,7,443.52,9,74.88,13,23.04,5,17.560975609756095,7,245.85365853658539,9,216.58536585365854,5,30.0,7,264.0,9,186.0,5,16.329896907216494,7,272.1649484536082,9,190.51546391752578,13,48.98969072164949,5,28.514851485148515,7,256.63366336633663,9,262.33663366336634,13,28.514851485148515,1,23.730337078651687,5,100.85393258426966,7,166.1123595505618,9,231.37078651685394,13,5.932584269662922,5,24.0,7,210.0,9,294.0,5,17.142857142857142,7,234.28571428571428,9,205.7142857142857,13,22.857142857142854,5,6.0,7,360.0,9,162.0,5,74.6086956521739,7,264.0,9,183.65217391304347,13,5.739130434782608,5,132.48000000000002,7,103.67999999999999,9,328.32,13,11.52,5,176.55172413793105,7,248.27586206896552,9,44.13793103448276,13,11.03448275862069,16,48.0,"
20475,1985-04-26 00:00:00,nan,MA: Mgmt Advisory Svcs,"7,431.65467625899277,9,34.53237410071942,13,13.812949640287771,7,569.1834319526628,9,6.816568047337278,7,477.7142857142857,9,25.142857142857142,13,25.142857142857142,7,336.0,9,96.0,13,96.0,7,281.6,9,176.0,13,70.4,7,96.0,9,192.0,13,192.0,7,422.40000000000003,9,52.800000000000004,13,52.800000000000004,7,225.3913043478261,9,175.30434782608697,13,175.30434782608697,7,341.64705882352945,9,93.1764705882353,13,93.1764705882353,7,432.0,7,410.6666666666667,9,58.666666666666664,13,58.666666666666664,7,113.14285714285714,9,377.14285714285717,13,37.714285714285715,7,349.0909090909091,9,65.45454545454545,13,65.45454545454545,7,264.0,9,132.0,13,132.0,7,528.0,7,576.0,7,528.0,7,480.0,7,480.0,7,576.0,7,528.0,7,576.0,7,480.0,7,480.0,7,528.0,7,576.0,7,377.14285714285717,9,150.85714285714286,7,528.0,7,225.0,9,150.0,13,105.0,1,158.4,7,17.6,9,176.0,13,176.0,16,528.0,16,576.0,16,480.0,16,48.0,"
20880,1988-11-15 00:00:00,4,LM: Logistics,"7,342.0,9,138.0,7,525.0,9,51.0,7,480.0,9,48.0,7,477.0,9,51.0,7,429.0,9,99.0,7,192.0,9,288.0,7,396.0,9,132.0,7,552.0,9,24.0,7,480.0,9,48.0,7,384.0,9,48.0,7,528.0,7,414.0,9,114.0,7,444.0,9,36.0,7,480.0,9,48.0,7,498.0,9,30.0,7,528.0,9,48.0,7,528.0,7,462.0,9,18.0,7,432.0,9,48.0,7,552.0,9,24.0,7,384.0,9,144.0,7,510.0,9,66.0,7,414.0,9,66.0,7,378.0,9,102.0,7,360.0,9,168.0,7,510.0,9,66.0,7,363.0,9,165.0,7,366.0,9,162.0,7,360.0,9,120.0,7,96.0,9,432.0,7,432.0,9,96.0,7,504.0,9,72.0,7,450.0,9,30.0,16,48.0,"
20901,1988-02-22 00:00:00,7,LM: Logistics,"1,274.4788732394366,5,27.04225352112676,9,131.1549295774648,13,47.323943661971825,1,419.5068493150685,5,59.17808219178082,9,59.17808219178082,13,38.13698630136986,1,498.0,9,30.0,1,324.46927374301674,9,194.68156424581005,13,8.849162011173185,1,499.9776536312849,9,19.173184357541903,13,8.849162011173185,1,256.0,9,209.45454545454544,13,14.545454545454547,1,377.56424581005587,9,141.58659217877096,13,8.849162011173185,1,480.0,9,67.2,13,28.8,1,337.92,9,138.6,13,51.480000000000004,1,318.24451410658304,9,89.37931034482759,13,24.376175548589345,1,388.68601583113457,5,5.572559366754617,9,98.91292875989446,13,34.82849604221636,1,331.9674796747967,9,171.7073170731707,13,24.32520325203252,1,264.56692913385825,9,138.58267716535434,13,76.85039370078741,1,255.88652482269504,9,183.48936170212767,13,88.6241134751773,1,177.96100278551532,9,350.03899721448465,1,96.48730964467005,9,464.8934010152284,13,14.619289340101522,1,164.15777262180976,9,267.0626450116009,13,96.77958236658932,1,214.3820224719101,9,217.07865168539325,13,48.53932584269663,1,137.77777777777777,9,336.2962962962963,13,5.925925925925926,1,271.82022471910113,9,270.52584269662924,13,33.65393258426966,1,189.17647058823528,9,307.7647058823529,13,31.058823529411764,1,228.90712742980563,9,248.8120950323974,13,98.28077753779698,1,84.62809917355372,3,2.644628099173554,5,25.123966942148762,9,310.74380165289256,13,56.85950413223141,1,197.1891891891892,5,16.864864864864867,9,201.08108108108107,13,64.86486486486487,1,191.035175879397,3,10.613065326633166,5,66.33165829145727,9,198.99497487437188,13,61.02512562814071,1,108.24161073825503,5,21.906040268456376,9,364.6711409395973,13,81.18120805369126,1,79.01187648456057,3,7.524940617577197,5,31.353919239904986,9,323.5724465558195,13,86.53681710213776,1,41.383783783783784,5,17.124324324324327,9,443.8054054054054,13,25.686486486486487,1,27.586206896551722,3,5.517241379310345,5,35.862068965517246,9,390.34482758620686,13,20.689655172413794,1,97.26315789473684,5,4.1684210526315795,9,387.6631578947368,13,38.90526315789473,1,53.52995391705069,5,12.165898617511521,9,378.3594470046083,13,83.9447004608295,1,147.69230769230768,5,12.307692307692308,9,332.30769230769226,13,83.6923076923077,1,79.55801104972376,5,17.23756906077348,9,302.3204419889503,13,80.8839779005525,16,48.0,"
20925,1986-01-21 00:00:00,7,AA: Advanced Analytics,"2,33.0,4,369.0,5,30.0,9,48.0,2,54.0,4,30.0,5,435.0,9,57.0,2,51.0,4,198.0,5,231.0,9,48.0,1,42.0,2,96.0,4,285.0,5,18.0,9,87.0,2,53.39325842696629,4,341.12359550561797,5,41.52808988764045,9,86.02247191011236,13,5.932584269662922,2,297.0,4,69.0,5,15.0,9,99.0,1,83.52542372881356,2,17.89830508474576,4,170.03389830508473,5,41.76271186440678,9,211.79661016949154,13,2.983050847457627,1,9.0,2,27.0,4,228.0,5,171.0,9,141.0,2,8.608695652173912,4,220.95652173913044,5,229.56521739130434,9,45.91304347826087,13,22.956521739130434,2,11.675675675675677,4,29.18918918918919,5,274.37837837837833,9,105.08108108108108,13,11.675675675675677,2,41.52808988764045,4,62.29213483146067,5,186.876404494382,9,231.37078651685394,13,5.932584269662922,2,34.248648648648654,4,214.05405405405406,5,111.30810810810812,9,142.7027027027027,13,25.686486486486487,2,16.45714285714286,4,213.94285714285715,5,120.6857142857143,9,87.77142857142857,13,41.142857142857146,1,5.5,2,35.75,4,110.0,5,217.25,9,115.5,13,44.0,2,17.6,4,41.06666666666667,5,372.53333333333336,9,85.06666666666668,13,11.733333333333334,1,19.57281553398058,2,5.592233009708737,4,178.9514563106796,5,150.9902912621359,9,181.747572815534,13,39.14563106796116,2,29.01098901098901,4,194.3736263736264,5,194.3736263736264,9,92.83516483516485,13,17.40659340659341,2,5.853658536585366,4,122.92682926829269,5,90.73170731707317,9,248.78048780487805,13,11.707317073170731,1,5.925925925925926,2,32.59259259259259,4,225.18518518518516,5,151.11111111111111,9,59.25925925925925,13,5.925925925925926,2,2.9387755102040813,4,173.3877551020408,5,261.55102040816325,9,126.36734693877551,13,11.755102040816325,1,17.797752808988765,2,68.2247191011236,4,166.1123595505618,5,88.98876404494382,9,180.9438202247191,13,5.932584269662922,1,35.265306122448976,2,11.755102040816325,4,141.0612244897959,9,376.1632653061224,13,11.755102040816325,2,18.0,4,201.0,5,69.0,9,192.0,4,360.0,5,90.0,9,30.0,2,84.0,4,288.0,5,108.0,9,48.0,2,93.0,4,357.0,5,72.0,9,54.0,2,29.01098901098901,4,145.05494505494508,5,63.824175824175825,9,272.70329670329676,13,17.40659340659341,2,25.9672131147541,4,300.06557377049177,5,69.24590163934427,9,112.52459016393442,13,20.19672131147541,2,172.6829268292683,4,140.48780487804876,5,114.14634146341463,9,40.97560975609756,13,11.707317073170731,2,175.02762430939225,4,58.34254143646409,5,67.09392265193371,9,212.95027624309392,13,14.585635359116022,2,31.912087912087912,4,11.604395604395606,5,127.64835164835165,9,339.42857142857144,13,17.40659340659341,1,29.538461538461537,2,20.676923076923075,4,262.89230769230767,5,67.93846153846154,9,186.0923076923077,13,8.861538461538462,2,5.7142857142857135,4,82.85714285714286,5,297.14285714285717,9,71.42857142857143,13,22.857142857142854,16,48.0,"
20930,1979-02-14 00:00:00,4,LM: Logistics,"5,480.0,5,572.6705202312138,9,3.329479768786127,5,528.0,5,505.6901408450704,9,22.309859154929576,5,528.0,16,480.0,5,462.0,9,66.0,5,345.59999999999997,9,230.4,5,528.0,5,432.0,16,528.0,16,528.0,16,480.0,16,528.0,16,528.0,16,576.0,16,528.0,5,480.0,16,480.0,16,576.0,16,528.0,16,576.0,16,480.0,5,480.0,5,528.0,5,576.0,16,528.0,16,528.0,5,480.0,16,528.0,5,528.0,5,576.0,16,480.0,16,48.0,"
20935,1985-09-16 00:00:00,4,LM: Logistics,"16,480.0,16,576.0,16,528.0,16,528.0,16,528.0,16,480.0,16,528.0,16,576.0,16,528.0,1,432.0,1,528.0,1,528.0,1,480.0,1,528.0,16,528.0,16,576.0,16,528.0,16,480.0,16,480.0,1,576.0,16,528.0,16,576.0,16,480.0,16,480.0,16,528.0,16,576.0,16,528.0,1,528.0,1,460.0,9,20.0,15,480.0,15,528.0,15,528.0,15,576.0,15,480.0,15,48.0,"
20945,1985-02-04 00:00:00,nan,SL: Legacy,"1,7.710843373493975,3,19.277108433734938,4,1.9277108433734937,5,7.710843373493975,9,271.8072289156627,13,171.56626506024097,1,11.257328990228013,3,26.267100977198698,4,1.8762214983713357,5,9.381107491856678,9,311.4527687296417,13,215.7654723127036,1,7.48936170212766,3,26.21276595744681,4,3.74468085106383,5,11.23404255319149,9,288.3404255319149,13,190.97872340425533,1,10.038022813688213,3,18.068441064638783,4,4.015209125475285,5,12.045627376425855,9,309.171102661597,13,174.6615969581749,1,11.194346289752652,3,7.4628975265017665,4,5.597173144876326,5,13.06007067137809,9,291.0530035335689,13,199.63250883392226,1,4.549763033175356,3,6.824644549763033,4,6.824644549763033,5,9.099526066350712,9,336.6824644549763,13,116.01895734597156,1,10.153846153846155,3,12.184615384615386,4,4.061538461538461,5,14.215384615384616,9,316.8,13,170.5846153846154,1,5.740863787375415,3,7.6544850498338874,4,9.56810631229236,5,17.222591362126245,9,327.2292358803986,13,208.5847176079734,1,5.519163763066203,3,7.358885017421603,4,14.717770034843205,5,12.878048780487806,9,283.3170731707317,13,204.20905923344947,1,7.612334801762115,3,7.612334801762115,4,5.709251101321586,5,11.418502202643172,9,241.69162995594715,13,157.95594713656388,1,6.947368421052631,3,5.2105263157894735,4,3.4736842105263155,5,13.894736842105262,9,283.10526315789474,13,215.36842105263156,1,6.947368421052631,3,1.7368421052631577,4,10.421052631578947,5,6.947368421052631,9,279.6315789473684,13,222.3157894736842,1,3.4657039711191335,3,1.7328519855595668,4,6.931407942238267,5,12.129963898916966,9,252.99638989169677,13,202.74368231046932,4,14.08,9,323.84,13,190.07999999999998,16,528.0,16,576.0,16,528.0,16,480.0,16,480.0,16,576.0,16,528.0,16,576.0,16,480.0,16,480.0,16,528.0,16,576.0,16,528.0,16,528.0,15,480.0,15,528.0,15,528.0,15,576.0,15,480.0,15,48.0,"
20970,1978-06-01 00:00:00,5,LM: Logistics,"5,414.0,9,66.0,5,558.0,9,18.0,5,480.0,9,48.0,5,444.0,9,84.0,5,528.0,5,288.0,9,192.0,5,432.0,9,96.0,5,576.0,5,528.0,5,336.0,9,96.0,5,222.0,9,306.0,5,192.0,9,336.0,5,480.0,5,528.0,5,528.0,5,528.0,9,48.0,5,528.0,5,480.0,5,432.0,9,48.0,5,528.0,9,48.0,5,528.0,5,576.0,5,432.0,9,48.0,5,480.0,5,480.0,9,48.0,5,348.0,9,228.0,5,480.0,9,48.0,5,432.0,9,96.0,5,444.0,9,36.0,5,384.0,9,144.0,5,484.0,9,44.0,5,534.1090909090909,9,41.89090909090909,5,480.0,16,48.0,"
20975,1984-12-17 00:00:00,nan,LM: Logistics,"2,96.0,9,192.0,13,192.0,9,576.0,16,528.0,2,528.0,2,380.15999999999997,9,147.84,16,480.0,2,377.14285714285717,9,75.42857142857143,13,75.42857142857143,16,576.0,2,528.0,16,432.0,16,528.0,16,528.0,16,480.0,16,528.0,16,528.0,16,576.0,16,528.0,16,480.0,16,480.0,2,576.0,2,528.0,2,576.0,2,480.0,2,480.0,16,528.0,16,576.0,16,528.0,2,330.0,9,198.0,9,480.0,16,528.0,16,528.0,2,576.0,16,480.0,16,48.0,"
