day,sl
"14,69,7,128,5,13,13,35,15,56,9,43,14,307,7,13,9,5,13,13,15,5,14,57,7,160,5,15,13,57,10,8,15,22,9,25,14,105,7,132,5,35,10,47,9,24,14,12,1,31,7,109,5,35,10,101,15,20,9,35,14,109,1,31,7,121,5,39,10,16,9,28,14,125,7,171,5,8,10,4,9,36,14,103,7,158,5,18,13,47,10,18,14,74,1,57,7,155,5,37,9,4,10,12,9,4,14,78,1,16,7,148,5,12,13,59,10,8,9,24,14,101,7,233,5,4,9,4,14,70,7,194,5,12,13,31,15,35,14,47,13,47,7,175,5,13,9,9,15,18,9,35,14,101,13,90,7,136,5,16,14,70,1,16,13,47,7,109,5,66,15,4,9,31,14,16,1,4,7,229,5,8,9,4,13,62,9,0,15,20,14,8,13,72,7,160,5,18,9,40,15,18,9,29,14,89,7,153,5,8,13,15,15,50,9,29,14,77,1,30,7,171,5,13,13,13,10,30,9,9,14,48,7,161,5,34,10,10,9,90,14,55,7,148,5,12,13,8,10,16,9,105,14,30,13,55,7,173,5,49,9,2,15,4,9,30,14,34,9,13,7,175,5,13,13,104,9,5,14,140,13,53,7,63,5,81,15,7,14,47,7,140,5,4,13,43,10,4,15,24,9,82,14,43,1,43,13,16,7,132,5,39,13,16,10,28,9,28,14,22,1,8,7,189,5,11,13,22,10,93,14,9,7,188,5,22,13,124,1,4,7,133,5,76,10,23,9,107,1,64,7,111,5,39,10,107,9,22,13,17,9,9,7,181,5,129,15,9,7,274,5,22,9,4,13,25,15,15,9,4,7,233,5,28,10,24,9,59",1
"14,20,7,322,14,31,7,310,14,74,7,268,14,86,7,256,14,205,7,137,14,29,7,311,9,2,14,279,7,62,14,109,7,233,14,86,7,256,14,73,7,269,14,105,7,237,14,40,7,302,14,93,7,235,9,14,14,93,7,248,14,40,7,302,14,99,7,243,14,35,7,307,14,29,7,313,14,38,7,304,14,31,7,309,9,2,14,31,7,310,14,62,7,279,14,47,7,295,14,43,7,299,14,22,7,320,14,13,7,329,14,26,7,316,14,31,7,310,14,15,7,327,14,55,7,278,9,10,14,15,7,1009",2
"14,103,1,100,9,0,15,5,9,136,14,88,1,59,15,9,9,186,14,28,1,199,15,69,9,47,14,65,1,225,15,17,9,35,14,125,1,188,15,11,9,19,14,4,1,329,9,3,15,6,14,119,1,214,9,4,15,6,14,117,1,68,13,16,5,3,15,28,9,112,14,44,1,162,9,10,5,14,15,54,9,59,14,115,1,69,9,32,3,3,5,21,15,46,9,59,14,147,1,29,9,6,5,12,15,18,9,132,14,51,1,62,13,4,9,6,3,6,5,25,9,5,15,67,9,119,14,19,1,130,9,5,13,2,15,22,9,165,14,37,1,267,15,21,9,19,14,88,1,248,15,6,14,20,1,322,14,30,1,42,13,75,9,21,5,10,9,2,15,65,9,100,14,35,1,217,13,13,5,22,15,38,9,20,14,11,1,140,9,6,3,8,5,49,15,45,9,85,14,15,1,75,13,10,9,13,5,16,9,12,15,56,9,148,14,28,1,103,13,50,9,2,5,9,9,4,15,58,9,91,14,23,1,68,13,14,9,20,5,15,9,5,15,70,9,130,14,4,1,170,9,4,15,39,9,127,14,11,1,224,15,65,9,42,1,266,5,38,9,2,13,7,15,25,9,6,1,300,15,18,9,24,1,242,9,4,15,37,9,59,1,269,5,4,15,25,9,45,1,115,9,227,1,130,9,4,15,77,9,131,1,171,13,1,15,22,9,149,1,164,15,71,9,108,1,21,9,15,3,5,5,27,15,16,9,261",2
"14,62,9,9,5,67,2,5,15,9,4,90,9,103,14,50,1,13,5,96,2,4,9,32,15,25,4,114,9,9,14,57,1,28,5,12,2,62,4,185,14,24,5,258,2,32,4,18,9,11,14,132,5,45,2,117,15,10,4,39,14,22,5,64,4,256,14,90,5,50,9,5,2,13,4,143,9,43,14,62,5,47,2,18,15,14,4,202,14,167,1,22,9,8,2,8,15,8,4,86,9,47,14,138,5,43,2,20,15,12,4,97,9,33,14,35,1,5,5,109,2,24,9,5,15,5,4,162,14,43,5,223,2,10,15,10,4,24,9,34,14,62,1,55,5,28,2,12,15,2,4,111,9,74,14,64,5,11,2,211,4,50,9,7,14,31,5,150,2,33,4,128,14,45,5,86,9,4,2,22,15,12,4,8,9,167,14,35,5,22,2,24,4,263,14,31,5,70,2,55,4,186,14,36,1,18,5,41,2,13,15,6,4,159,9,72,14,5,5,222,2,5,15,18,4,62,9,32,14,8,5,247,2,12,9,41,15,8,4,28,14,11,1,6,5,102,9,4,2,16,4,135,9,70,14,6,1,12,5,59,2,45,15,4,4,109,9,109,14,11,5,159,2,2,15,8,4,105,9,59,1,4,5,154,2,26,9,51,15,31,4,78,9,6,5,130,2,20,9,4,15,12,4,130,9,41,5,28,9,8,2,35,15,4,4,223,9,45,5,155,2,6,15,16,4,150,9,16,5,123,2,28,15,4,4,41,9,148,5,76,2,24,9,10,15,18,4,146,9,70,5,94,2,13,9,37,15,32,4,167,5,43,2,56,4,212,9,32,5,84,9,18,2,126,15,9,4,103,9,5",0
"14,93,15,163,1,10,3,12,5,14,4,4,9,47,14,175,15,109,1,5,3,7,5,9,4,7,9,32,14,51,15,169,1,10,9,10,3,18,5,12,9,6,4,4,9,64,14,38,15,197,1,10,3,10,5,15,4,8,9,67,14,31,15,194,1,8,3,27,5,12,4,4,9,69,14,35,15,190,1,9,3,22,5,9,4,3,9,77,14,114,15,192,4,15,9,22,14,36,15,194,1,6,3,8,5,16,4,9,9,75,15,250,1,5,3,3,5,15,4,9,9,62,15,248,1,8,3,2,5,8,4,12,9,64,15,235,1,8,3,6,5,16,4,4,9,74,15,216,1,6,3,8,5,14,4,16,9,84,15,208,1,12,9,16,3,8,5,14,4,6,9,80,15,205,1,11,9,8,3,25,5,9,4,2,9,84,16,6137",4
"14,146,1,192,9,4,14,107,1,235,14,132,1,185,9,6,10,20,14,163,1,159,10,20,14,13,1,308,10,22,14,86,1,252,10,4,14,47,1,250,10,45,14,4,1,327,10,11,1,331,10,11,16,7842",4
"14,150,1,47,5,137,9,9,14,77,1,90,9,5,5,162,9,9,14,30,1,97,9,4,5,175,9,37,14,52,1,132,5,155,9,4,14,314,1,12,5,16,14,105,1,82,5,121,15,20,9,16,14,74,1,97,5,124,15,14,9,33,14,43,1,68,5,155,12,8,15,12,9,57,14,171,1,62,5,90,12,5,9,15,14,61,1,135,5,118,15,15,9,15,14,101,1,51,5,128,12,8,9,4,15,4,9,47,14,71,1,26,5,154,12,9,9,84,14,144,1,4,5,144,12,12,9,39,14,39,1,8,5,93,12,4,9,198,14,11,1,24,5,173,12,8,9,2,13,6,9,121,14,138,1,18,5,181,9,6,14,55,1,148,5,113,9,28,14,20,1,118,5,192,9,13,14,165,1,64,5,111,9,3,14,66,1,179,5,82,15,8,9,8,14,31,1,43,5,265,9,4,14,78,1,179,5,80,9,6,14,31,1,61,5,227,12,4,9,20,14,15,1,93,5,187,9,48,14,39,1,13,13,5,5,231,15,5,9,52,14,39,1,16,5,278,9,10,14,382,1,32,5,246,15,8,9,16,14,99,1,111,5,99,15,18,9,18,14,380,1,35,5,231,9,4,15,12,9,22,14,2,1,146,5,124,9,0,15,22,9,49,14,7,1,145,5,177,9,13,14,11,1,185,5,127,9,19",3
"14,161,1,10,2,140,15,18,9,14,14,23,1,49,2,204,15,44,9,24,14,59,1,57,5,5,2,158,15,38,9,27,14,16,1,24,5,29,2,269,15,6,14,92,1,20,5,12,2,192,15,8,9,20,14,3,1,31,9,4,2,231,15,8,9,65,14,103,1,11,2,224,15,4,14,58,1,9,2,270,15,6,14,97,1,4,13,8,5,175,2,20,15,18,9,22,14,45,1,18,5,155,2,94,15,28,9,4,14,127,1,5,5,172,2,39,14,80,1,8,5,146,9,14,2,87,15,9,14,114,1,11,9,11,2,89,15,116,9,2,14,165,1,6,5,146,2,18,15,8,14,186,1,13,2,118,15,26,14,166,1,15,2,153,9,9,14,35,1,21,5,28,9,31,2,90,15,50,9,90,14,29,1,114,9,34,2,115,15,32,9,20,14,52,1,41,2,192,15,3,9,56,14,42,1,17,5,128,2,55,15,16,9,86,14,39,1,7,9,15,5,179,2,47,15,47,9,9,14,36,1,16,13,24,5,111,2,30,15,33,9,95,14,9,1,16,13,136,5,98,9,3,2,31,15,12,9,40,14,61,1,56,9,10,5,8,9,52,2,80,15,24,9,55,14,82,1,20,5,12,2,138,15,59,9,33,14,6,1,27,5,17,9,15,2,201,15,70,9,8,14,5,1,2,2,321,15,15,14,35,1,31,5,6,2,192,15,74,9,4,14,13,1,22,9,2,2,302,15,2,4,2,14,5,1,7,5,188,9,7,2,77,15,60,14,4,1,9,5,6,9,8,2,246,15,49,9,23,14,4,1,13,5,207,2,29,13,2,15,15,9,74,1,14,9,3,5,9,9,177,2,65,15,31,9,44",0
"4,1023,16,9888",2
"14,76,9,3,8,53,15,211,14,86,8,154,15,103,9,682,16,9547",3
