day,sl
"15,114,7,228,15,54,7,288,15,27,7,79,9,237,15,43,7,299,15,74,7,268,15,150,7,192,15,38,7,304,9,0,15,228,7,114,15,53,7,210,9,79,15,76,7,266,15,18,7,324,15,11,7,316,9,16,1,154,7,18,15,171,7,1267,9,98,7,546,9,41,15,96,7,337,9,5,7,3410,16,682",3
"5,680,9,2,5,668,9,15,5,640,9,43,5,205,9,137,5,3069,16,5456",2
"1,2387,9,0,1,327,9,15,16,8183",2
"14,217,5,124,14,198,5,144,14,76,5,266,14,137,5,205,14,55,5,287,14,11,5,331,14,93,5,248,14,26,5,316,14,62,5,279,14,47,5,295,14,35,5,307,14,29,5,313,14,62,5,279,14,31,5,310,14,29,5,313,14,31,5,310,14,35,5,307,14,31,5,310,14,25,5,317,14,121,5,206,9,15,5,3041,9,29,5,1364",2
"9,96,2,246,9,810,2,327,15,228,2,626,15,57,2,2387,16,6137",2
"1,682,8,341,16,9888",4
"5,128,2,214,9,53,2,289,9,341,2,3069,4,341,16,6478",2
"14,246,1,96,14,264,1,12,9,66,14,124,15,79,1,84,5,11,9,45,14,107,15,88,1,50,9,99,14,31,15,112,1,81,9,119,15,123,1,207,9,13,15,205,1,44,9,14,5,2,9,42,10,2,9,35,15,201,1,65,9,20,5,2,9,55,1,1009,9,15,1,2562,9,167,1,335,9,7,1,321,9,21,1,295,9,26,15,11,9,11,1,104,9,183,15,56,1,188,9,154,1,273,9,69,1,211,9,107,13,14,15,11,1,229,9,100,13,5,15,9,1,109,9,233,1,325,13,17,1,302,9,9,13,5,9,27,1,131,13,25,9,186,1,103,13,61,9,179,1,286,9,56",2
"0,681,9,2,0,1016,9,8,0,8183,9,0,0,674,9,9,0,682",3
"14,192,5,102,8,48,14,171,5,60,8,112,14,114,5,176,8,52,14,57,5,182,8,103,14,119,5,150,8,73,14,104,5,124,8,114,14,73,5,109,8,161,14,134,5,131,8,77,14,140,5,26,9,11,8,166,14,68,5,130,8,145,14,29,5,180,8,133,14,95,5,146,8,102,14,46,5,126,8,171,14,124,5,99,8,119,14,5,5,86,8,251,14,83,5,238,8,21,5,205,8,137,5,214,8,128,5,158,8,184,5,79,8,2650,9,0,8,1364,16,682",3
"1,307,4,35,5,157,4,185,5,314,9,28,5,152,4,190,5,304,4,38,5,49,4,293,5,111,4,231,5,103,4,239,9,8,4,334,9,9,4,333,9,201,4,141,9,324,4,18,9,295,4,47,9,289,4,53,9,341,4,3744,9,7,4,2387",2
"5,171,9,171,5,1023,16,9547",2
"14,158,7,137,9,5,15,43,14,66,7,259,9,13,15,4,14,188,7,141,15,13,14,31,7,260,15,51,14,76,7,235,15,18,9,14,7,329,9,2,15,11,7,677,9,6,7,113,9,229,7,137,9,205,7,248,15,38,9,57,7,331,9,11,7,299,9,43,7,664,15,18,7,1349,9,16,7,1121,9,244,7,314,15,28,7,874,9,139,15,11,7,325,15,17,7,1679,9,27",3
"5,325,13,17,5,334,12,2,9,4,13,2,5,337,12,5,5,335,12,7,5,221,12,59,9,13,15,15,9,36,5,219,12,111,15,12,5,317,12,25,5,301,15,41,5,668,15,15,5,311,9,31,5,306,15,25,9,11,5,329,9,13,5,339,15,3,5,328,15,13,5,328,15,14,5,282,12,19,15,41,5,276,12,52,15,6,9,9,5,118,12,224,5,72,12,270,5,124,12,214,15,5,5,158,12,167,15,17,5,290,15,52,5,336,15,6,5,328,15,14,5,335,15,7,5,311,9,31,5,313,9,29,5,315,12,27,5,618,12,59,15,6,5,329,12,11,15,3,5,341",2
"11,84,12,252,4,6,11,110,12,209,9,3,8,6,4,16,11,137,5,11,12,185,8,10,11,179,12,163,11,160,12,182,11,150,12,192,11,171,12,171,11,169,12,169,9,5,11,180,5,14,12,144,9,5,11,147,12,195,11,194,5,9,12,135,9,5,11,148,5,32,12,157,9,5,11,163,5,11,12,168,11,210,5,6,12,126,11,190,12,152,11,190,12,152,11,204,12,132,9,6,11,150,5,22,12,171,9,0,11,174,12,168,11,152,12,190,11,152,12,190,11,183,5,5,12,155,11,194,12,147,11,195,12,147,11,144,5,3,12,195,11,174,12,168,11,209,12,128,9,6,11,155,12,180,9,8,11,190,12,152,11,144,12,198,11,195,12,147,11,188,12,154,11,170,12,172",0
"9,682,6,341,16,9888",3
"5,682,9,341,16,9888",3
"1,34,3,9,9,300,1,9,3,17,9,317,1,22,3,22,9,299,1,14,9,328,1,9,13,9,9,324,1,5,9,337,1,39,13,30,9,273,1,29,9,313,1,10,9,332,1,32,3,8,9,302,13,11,3,32,9,299,13,128,9,214,13,108,9,234,13,199,9,143,13,273,9,69,13,244,9,98,13,114,9,228,13,256,9,86,13,22,3,52,9,268,13,49,9,293,13,137,9,205,13,263,9,79,13,569,9,114,13,114,9,228,3,103,9,239,3,84,9,257,3,14,9,1692,16,341",2
"5,7160,9,0,5,3751,16,341",2
"14,31,4,310,14,199,4,143,14,31,4,310,14,143,4,199,14,93,4,248,14,205,4,137,14,29,4,313,14,186,4,155,14,35,4,307,14,38,4,304,14,31,4,310,14,31,4,310,14,35,4,307,14,35,4,3717,16,2728",3
"7,2371,9,16,7,114,15,228,7,1364,9,1364,15,228,9,114,16,5456",3
"14,510,12,173,14,43,12,299,14,121,12,221,14,35,12,307,14,86,12,256,14,28,12,314,14,29,12,313,16,8183",4
"14,167,15,116,7,52,9,9,14,4,15,152,7,167,9,20,14,113,15,115,7,95,9,20,14,99,15,128,7,116,14,41,15,144,7,117,9,41,14,128,15,89,7,100,9,25,7,1488,9,217,7,640,9,43,7,983,9,41,7,582,9,101,7,504,9,178,7,266,9,76,7,1612,9,93,7,585,9,98,7,738,9,286,7,119,9,223",3
"1,15,9,3,2,307,4,18,1,6,2,192,4,145,1,79,9,15,2,199,4,50,1,26,2,264,4,52,9,6,2,286,4,51,9,15,2,105,4,65,9,161,2,243,9,96,2,335,4,7,2,661,4,22,2,293,4,49,2,307,4,35,2,303,4,39,2,306,4,36,2,677,4,6,2,192,15,130,4,21,2,266,4,76,2,228,4,114,2,890,4,33,9,101,2,284,9,58,2,325,15,10,9,8,2,196,4,37,9,110,2,190,4,102,9,51,2,269,4,67,9,6,2,234,4,68,9,40,2,197,4,145,2,302,4,40,2,335,4,7,2,495,4,143,9,44",2
"9,1364,16,9547",3
