empl_id,start_date,glc,l2_org
20392,1988-10-24 00:00:00,L4 Employees,DS: Digital Services
20475,1985-04-26 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
20880,1988-11-15 00:00:00,L4 Employees,LM: Logistics
20901,1988-02-22 00:00:00,L4 Employees,LM: Logistics
20925,1986-01-21 00:00:00,L4 Employees,AA: Advanced Analytics
20930,1979-02-14 00:00:00,L4 Employees,LM: Logistics
20935,1985-09-16 00:00:00,L4 Employees,LM: Logistics
20945,1985-02-04 00:00:00,Not Applicable,SL: Legacy
20970,1978-06-01 00:00:00,L4 Employees,LM: Logistics
20975,1984-12-17 00:00:00,L4 Employees,LM: Logistics
21230,1972-08-03 00:00:00,Not Applicable,SL: Legacy
21575,1987-11-02 00:00:00,Not Applicable,SL: Legacy
21790,1987-01-02 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
21800,2015-10-19 00:00:00,L4 Employees,LM: Logistics
22511,1989-03-13 00:00:00,L4 Employees,LM: Logistics
22512,1989-03-20 00:00:00,L4 Employees,AA: Advanced Analytics
22513,1989-04-26 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
22516,1989-05-08 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
22533,2015-10-13 00:00:00,L4 Employees,LM: Logistics
22541,2017-10-23 00:00:00,L4 Employees,LM: Logistics
22550,1990-11-01 00:00:00,L4 Employees,LM: Logistics
22554,1991-06-10 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
22555,1991-08-26 00:00:00,L4 Employees,LM: Logistics
22559,1991-10-21 00:00:00,L4 Employees,AA: Advanced Analytics
22560,1991-11-18 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
22576,1992-09-01 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
22589,1993-01-15 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
22597,1993-06-01 00:00:00,L4 Employees,LM: Logistics
22610,1994-01-03 00:00:00,L4 Employees,LM: Logistics
22631,1994-07-25 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
22632,1994-08-15 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
22637,2006-11-01 00:00:00,Not Applicable,SL: Legacy
22642,1994-11-01 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
22644,1994-11-28 00:00:00,L4 Employees,DS: Digital Services
22649,2012-10-01 00:00:00,L4 Employees,LM: Logistics
22652,1995-01-02 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
22654,1995-01-23 00:00:00,L4 Employees,DS: Digital Services
22658,1995-02-01 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
22662,1995-04-01 00:00:00,L4 Employees,LM: Logistics
22664,1995-04-01 00:00:00,L4 Employees,LM: Logistics
22668,1994-06-01 00:00:00,Not Applicable,SL: Legacy
22684,1995-10-01 00:00:00,Not Applicable,SL: Legacy
22689,1995-12-01 00:00:00,L4 Employees,LM: Logistics
22741,2016-03-28 00:00:00,L4 Employees,LM: Logistics
